"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2024-01-09,"02:03:00","D5","VVX10",8.3
2024-01-09,"02:03:00","D5","DVVX10",317
2024-01-09,NA,"X2","TM",8.3
2024-01-09,"14:30:00","X2","TX",11.6
2024-01-09,"06:51:00","X2","TN",4.8
2024-01-09,NA,"X2","HRM",64
2024-01-09,"23:32:00","X2","HRX",81
2024-01-09,"10:10:00","X2","HRN",47
2024-01-09,NA,"X4","TM",9.3
2024-01-09,"13:02:00","X4","TX",11.7
2024-01-09,"06:35:00","X4","TN",6.6
2024-01-09,NA,"X4","HRM",59
2024-01-09,"19:32:00","X4","HRX",73
2024-01-09,"04:18:00","X4","HRN",41
2024-01-09,NA,"X4","PM",1016.5
2024-01-09,"10:00:00","X4","PX",1017.7
2024-01-09,"04:36:00","X4","PN",1015.2
2024-01-09,NA,"X4","PPT",0
2024-01-09,NA,"X4","RS24h",8.3
2024-01-09,NA,"X4","VVM10",1.3
2024-01-09,NA,"X4","DVM10",32
2024-01-09,"15:24:00","X4","VVX10",5.8
2024-01-09,"15:24:00","X4","DVVX10",75
2024-01-09,NA,"X8","TM",8.1
2024-01-09,"12:17:00","X8","TX",11.9
2024-01-09,"06:07:00","X8","TN",3.7
2024-01-09,NA,"X8","HRM",64
2024-01-09,"23:21:00","X8","HRX",82
2024-01-09,"09:32:00","X8","HRN",42
2024-01-09,NA,"X8","PM",1010.6
2024-01-09,"11:09:00","X8","PX",1011.7
2024-01-09,"04:31:00","X8","PN",1009.3
2024-01-09,NA,"X8","PPT",0
2024-01-09,NA,"X8","RS24h",8.3
2024-01-09,NA,"X8","VVM10",1.2
2024-01-09,NA,"X8","DVM10",28
2024-01-09,"01:12:00","X8","VVX10",5.2
2024-01-09,"01:12:00","X8","DVVX10",295
2024-01-10,NA,"D5","TM",6.7
2024-01-10,"12:37:00","D5","TX",8.2
2024-01-10,"01:01:00","D5","TN",5.7
2024-01-10,NA,"D5","HRM",91
2024-01-10,"17:36:00","D5","HRX",100
2024-01-10,"21:21:00","D5","HRN",76
2024-01-10,NA,"D5","PM",969.5
2024-01-10,"10:04:00","D5","PX",971.2
2024-01-10,"21:22:00","D5","PN",968
2024-01-10,NA,"D5","PPT",4.9
2024-01-10,NA,"D5","RS24h",1.9
2024-01-10,NA,"D5","VVM10",3.3
2024-01-10,NA,"D5","DVM10",24
2024-01-10,"23:39:00","D5","VVX10",8.5
2024-01-10,"23:39:00","D5","DVVX10",352
2024-01-10,NA,"X2","TM",8.7
2024-01-10,"13:50:00","X2","TX",10.9
2024-01-10,"22:00:00","X2","TN",6.5
2024-01-10,NA,"X2","HRM",81
2024-01-10,"23:08:00","X2","HRX",98
2024-01-10,"06:20:00","X2","HRN",64
2024-01-10,NA,"X4","TM",9.6
2024-01-10,"12:31:00","X4","TX",11.6
2024-01-10,"21:17:00","X4","TN",8.3
2024-01-10,NA,"X4","HRM",77
2024-01-10,"19:00:00","X4","HRX",100
2024-01-10,"06:09:00","X4","HRN",63
2024-01-10,NA,"X4","PM",1014.8
2024-01-10,"00:02:00","X4","PX",1016.7
2024-01-10,"18:57:00","X4","PN",1013.2
2024-01-10,NA,"X4","PPT",6.6
2024-01-10,NA,"X4","RS24h",2.3
2024-01-10,NA,"X4","VVM10",1
2024-01-10,NA,"X4","DVM10",358
2024-01-10,"23:06:00","X4","VVX10",5.2
2024-01-10,"23:06:00","X4","DVVX10",312
2024-01-10,NA,"X8","TM",8.4
2024-01-10,"12:25:00","X8","TX",11.9
2024-01-10,"21:54:00","X8","TN",6.1
2024-01-10,NA,"X8","HRM",88
2024-01-10,"22:00:00","X8","HRX",100
2024-01-10,"14:01:00","X8","HRN",72
2024-01-10,NA,"X8","PM",1008.9
2024-01-10,"00:00:00","X8","PX",1010.8
2024-01-10,"19:18:00","X8","PN",1007.3
2024-01-10,NA,"X8","PPT",6.6
2024-01-10,NA,"X8","RS24h",2.3
2024-01-10,NA,"X8","VVM10",0.9
2024-01-10,NA,"X8","DVM10",321
2024-01-10,"23:13:00","X8","VVX10",6.2
2024-01-10,"23:13:00","X8","DVVX10",332
2024-01-11,NA,"D5","TM",5.6
2024-01-11,"13:09:00","D5","TX",10.4
2024-01-11,"23:21:00","D5","TN",3.9
2024-01-11,NA,"D5","HRM",83
2024-01-11,"02:30:00","D5","HRX",100
2024-01-11,"13:37:00","D5","HRN",63
2024-01-11,NA,"D5","PM",971
2024-01-11,"22:43:00","D5","PX",974.5
2024-01-11,"01:00:00","D5","PN",967.8
2024-01-11,NA,"D5","PPT",0.1
2024-01-11,NA,"D5","RS24h",7.1
2024-01-11,NA,"D5","VVM10",6.2
2024-01-11,NA,"D5","DVM10",326
2024-01-11,"23:51:00","D5","VVX10",10.2
2024-01-11,"23:51:00","D5","DVVX10",316
2024-01-11,NA,"X2","TM",9.1
2024-01-11,"14:35:00","X2","TX",12.8
2024-01-11,"00:32:00","X2","TN",6.1
2024-01-11,NA,"X2","HRM",73
2024-01-11,"00:35:00","X2","HRX",94
2024-01-11,"13:09:00","X2","HRN",50
2024-01-11,NA,"X4","TM",9.6
2024-01-11,"13:23:00","X4","TX",13.1
2024-01-11,"01:02:00","X4","TN",7.8
2024-01-11,NA,"X4","HRM",66
2024-01-11,"02:21:00","X4","HRX",89
2024-01-11,"13:05:00","X4","HRN",49
2024-01-11,NA,"X4","PM",1016.5
2024-01-11,"23:00:00","X4","PX",1020.1
2024-01-11,"01:00:00","X4","PN",1013.4
2024-01-11,NA,"X4","PPT",0.1
2024-01-11,NA,"X4","RS24h",7.1
2024-01-11,NA,"X4","VVM10",1.6
2024-01-11,NA,"X4","DVM10",320
2024-01-11,"15:30:00","X4","VVX10",6.5
2024-01-11,"15:30:00","X4","DVVX10",327
2024-01-11,NA,"X8","TM",8.1
2024-01-11,"15:11:00","X8","TX",11.3
2024-01-11,"01:21:00","X8","TN",5.5
2024-01-11,NA,"X8","HRM",73
2024-01-11,"02:28:00","X8","HRX",94
2024-01-11,"13:45:00","X8","HRN",55
2024-01-11,NA,"X8","PM",1010.6
2024-01-11,"22:40:00","X8","PX",1014.2
2024-01-11,"00:49:00","X8","PN",1007.4
2024-01-11,NA,"X8","PPT",0
2024-01-11,NA,"X8","RS24h",6.2
2024-01-11,NA,"X8","VVM10",3
2024-01-11,NA,"X8","DVM10",308
2024-01-11,"15:53:00","X8","VVX10",8.4
2024-01-11,"15:53:00","X8","DVVX10",305
2024-01-12,NA,"D5","TM",5.5
2024-01-12,"13:44:00","D5","TX",10
2024-01-12,"07:07:00","D5","TN",2.8
2024-01-12,NA,"D5","HRM",73
2024-01-12,"07:04:00","D5","HRX",91
2024-01-12,"14:33:00","D5","HRN",55
2024-01-12,NA,"D5","PM",975.2
2024-01-12,"10:39:00","D5","PX",976.3
2024-01-12,"03:39:00","D5","PN",974.2
2024-01-12,NA,"D5","PPT",0
2024-01-12,NA,"D5","RS24h",9.7
2024-01-12,NA,"D5","VVM10",9.4
2024-01-12,NA,"D5","DVM10",312
2024-01-12,"21:55:00","D5","VVX10",14
2024-01-12,"21:55:00","D5","DVVX10",323
2024-01-12,NA,"X2","TM",9.2
2024-01-12,"13:14:00","X2","TX",13.5
2024-01-12,"06:49:00","X2","TN",6.5
2024-01-12,NA,"X2","HRM",61
2024-01-12,"06:31:00","X2","HRX",77
2024-01-12,"13:14:00","X2","HRN",43
2024-01-12,NA,"X4","TM",9.7
2024-01-12,"13:58:00","X4","TX",14.3
2024-01-12,"23:37:00","X4","TN",7.4
2024-01-12,NA,"X4","HRM",56
2024-01-12,"07:32:00","X4","HRX",66
2024-01-12,"14:00:00","X4","HRN",40
2024-01-12,NA,"X4","PM",1020.9
2024-01-12,"10:37:00","X4","PX",1022
2024-01-12,"00:33:00","X4","PN",1019.8
2024-01-12,NA,"X4","PPT",0
2024-01-12,NA,"X4","RS24h",9.6
2024-01-12,NA,"X4","VVM10",2.6
2024-01-12,NA,"X4","DVM10",290
2024-01-12,"23:40:00","X4","VVX10",9.7
2024-01-12,"23:40:00","X4","DVVX10",314
2024-01-12,NA,"X8","TM",8.4
2024-01-12,"13:30:00","X8","TX",13.6
2024-01-12,"07:30:00","X8","TN",5.6
2024-01-12,NA,"X8","HRM",61
